# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 426, mean track length: 2
331 2.5059265692058958 1.5909862728664685 6.5787560479330018 92 94 81 0.14658889526644792 1 1294 2 1317
330 2.415384358116726 1.5904142165480297 6.6025035221885204 118 120 112 0.38574399095156631 1 1292 2 1304
329 3.8288180352637453 1.1947841314988288 4.5482384763270538 140 146 137 0.40064660691724946 1 1285 2 1650
328 3.73565581508017 1.1975644787519257 4.5670036637965197 155 165 156 0.43247660464414284 1 1284 2 1638
327 4.0969949308532865 1.1961878844234095 4.6194430821029737 26 29 22 0.084241726110429099 1 1273 2 1624
326 5.7858452987409796 1.0814725741007338 4.0595891549697267 53 54 47 1.3753155356758595 1 1271 2 1712
325 5.7318526592379655 1.0911030461387354 4.1318887563480322 120 125 112 0.019015664589395229 1 1261 2 1702
324 5.7038071745933134 1.123519354713411 4.2780913108736423 94 94 84 1.7832596228676301 1 1260 2 1694
323 3.0390028073387207 1.4547437775933709 6.0803287350267201 110 110 99 0.57391987281855994 1 1259 2 1374
322 2.9610096214718942 1.45242699444684 6.0888373974028127 101 102 91 0.0485910755853486 1 1258 2 1367
321 2.8556448208238785 1.4539002836974568 6.1177602442843124 134 135 127 0.40473767443001013 1 1254 2 1351
320 4.5341562965627551 1.1565735803052659 4.4978050935670026 55 54 49 0.23936965868706911 1 1251 2 1634
319 4.6858525596732372 1.1427468535923946 4.4440388949356642 79 80 72 0.031534134648712075 1 1250 2 1640
318 5.6968296361835726 1.1212548084743554 4.342894400495271 100 100 90 1.2057708407756136 1 1243 2 1671
317 4.5870956739921942 1.1382085210064004 4.447591211118354 110 112 99 0.56337958955838607 1 1241 2 1627
316 4.6380965234699207 1.1355517157320123 4.4470541342208376 15 17 8 0.30362380977265396 1 1239 2 1628
315 2.5161275239590664 1.5168057090310534 6.6040357452338601 97 98 90 0.49135582744399231 1 1238 2 1214
314 5.12856301785071 1.1372175067600647 4.4738198869256482 53 53 41 0.37382323558462044 1 1237 2 1629
313 3.8322445049777718 1.1438727873858039 4.5748545375638443 150 152 141 0.13725013065635916 1 1226 2 1579
312 3.751072680575624 1.1497999683439446 4.5996021013245194 144 148 141 0.59879494453672877 1 1225 2 1578
311 3.0982715985866567 1.4103350669797332 6.0948289130491169 129 131 120 0.13646355542053248 1 1219 2 1324
310 3.0471376489351827 1.4095564395365638 6.0984770490785092 101 101 91 0.039857060598602841 1 1218 2 1319
309 2.9689061468202693 1.4047062856700072 6.106466700673856 104 104 94 0.14828851848254576 1 1216 2 1305
308 2.6266051000934159 1.4941951398842446 6.5681183582997171 130 131 123 1.6174735324045748 1 1215 2 1217
307 5.8431033621742001 1.0434312033174962 4.1104518566787576 153 160 149 0.14296667366360896 1 1206 2 1669
306 4.5246739008742693 1.1129498652881376 4.521441982902779 127 128 120 1.2550044378756897 1 1202 2 1572
305 5.7577902936328282 1.0528834964491165 4.1848176886028465 108 111 100 0.64364731988999258 1 1199 2 1657
304 5.1333336868627049 1.0963224512391752 4.4246040154275992 69 71 61 0.10674365655144316 1 1197 2 1608
303 2.5296663717442538 1.4644995294879994 6.6223136197284198 94 95 87 0.35665554201654104 1 1190 2 1159
302 5.1897739116902759 1.0645847103286799 4.3322442907745948 145 147 136 0.21957384637100891 1 1180 2 1609
301 4.1154522087048067 1.1106327698577911 4.6226802327608798 114 117 108 0.63731205581279204 1 1178 2 1535
300 2.9738968287158709 1.3636146208962903 6.1190683161974171 107 107 95 0.39412904901536672 1 1177 2 1250
299 4.576195945311726 1.0855733714169553 4.477558056515309 112 115 108 0.28226648949052696 1 1174 2 1568
298 2.9109327342685494 1.3602344935708131 6.1410206053071956 138 140 127 0.062238036191725972 1 1173 2 1236
